keys,en,sw,kam,kik,miji,luo,bor
initial_language_selection,"CON Welcome to Sarafu Network
%{first_language_set}

11. Next
00. Exit","CON Karibu Sarafu Network
%{first_language_set}

11. Mbele
00. Ondoka","CON Kalivu Network ya Sarafu
1. English
2. Kiswahili
3. Kikamba
3. Help","CON Karibu Sarafu Network
1. Githungu
2. Githweri
3. Uteithio","CON Karibu Sarafu Network
1. Chizungu
2. Chiswahili
3. Avizwa","CON Machiegni e network mar Sarafu
1. Dho Ngere
2. Dho oswayo
3. Kony","CON Karibu Sarafu Network
1. Afaan ferenji
2. Afaan kiswahili
3. Qarqars"
initial_pin_entry,CON Please enter a new four number PIN for your account.,CON Tafadhali weka pin mpya yenye nambari nne kwa akaunti yako,CON Tafadhali ikia pin yumbya ila ina namba inya kinanduni chaku,CON Ekera namba yaku ya thiri njeru ena numba enna.,CON Ika piniyo ya namba Ne kwa akaunti Yakwako.,CON Kiyie to ket namba ni mopondo e akaont ni.,CON Tafadhal pin hareti kekhae ka namba afuri fulaa akaunti kake
initial_pin_confirmation,CON Enter your four number PIN again,CON Weka PIN yako tena,CON Ikia PIN yaku ingi,CON Ekera namba yaku ya thiri ringi,CON Uyira Kwika pin kaheri.,CON Ket namba ni mopondo kendo,CON Mar dibii pin kekhae
enter_given_name,"CON Enter first name
0. Back",CON Weka jina lako la kwanza,CON Ikia isyitwa yaku ya mbee,CON Ekera retwa rwaku ria mbere,CON Ika dzinaro rakwanza.,CON Ket nyingi mokwongo,CON Makhaa kake ka karaa kor
enter_family_name,"CON Enter family name
0. Back","CON Weka jina lako la mwisho
0. Rudi","CON Ikia isyitwa yaku ya muthya
0. Syoka itina","CON Ekera ritwa rwaku ria mwisho
0. Coka thutha","CON Ika dzinaro ra mwisho
0. Uya Nyuma","CON Ket nyingi mogik.
0. Dog chien","CON Makhaa kake ka egee
0. Dhebii"
enter_date_of_birth,"CON Enter year of birth
0. Back","CON Weka mwaka wa kuzaliwa
0. Rudi","CON Ikia mwaka wa kusyawa
0. Syoka itina","CON Ekera mwaka waku wa guciarwo
0. Coka thutha","CON Ika mwaka wakuvyalwa
0. Uya Nyuma","CON Ket iki mar nyuol
0. Dog chien","CON Gan kake ka athdalat kor
0. Dheebi"
enter_gender,"CON Enter gender
1. Male
2. Female
3. Other
0. Back","CON Weka jinsia yako
1. Mwanaume
2. Mwanamke
3. Nyngine
0. Rudi","CON Ikia gender yaku
1. Mundume
2. Mundumuka
3. Ingi
0. Syoka itina","CON We mudurume kana mutumia
1.Mudurume
2. Mutumia
3. Ingi
0. Coka thutha","CON Ika kala Umulume ama Umuche au vingine.
1. Mulume
2. Muche
3. Vinjine
0. Uya Nyuma","CON Ket kit chwech mari
1. Dichuo
2. Dhako
3. Moko
0. Dog chien","CON Athin Dir mo Dubr
1. Dir
2. Dubr
3. Ka dibii
0. Dheebi"
enter_location,"CON Enter your location,
0. Back","CON Weka eneo lako
0. Rudi","CON Ikia utui waku kana location
0. Syoka itina","CON Ekera kuria uumete
0. Coka thutha","CON Ika enero wombolako.
0. Uya nyuma","CON Ket kumaidake
0. Dog chien","CON Fulaa athin kubat kor
0. Dhebii"
enter_products,"CON Please enter a product or service you offer
0. Back","CON Weka bidhaa ama huduma unauza
0. Rudi","CON Ikia syindu kana huduma ila unenganae
0. Syoka itina","CON Ekera indo kana wira uria urendia
0. Coka thutha","CON Ika Viya ama utu uhendao
0. Uya Nyuma","CON Ket gima iuso kata tich mitimo
0. Dog chien","CON Waan gurgurt okan namaa kenit khes khae
0. Dheebi"
start,"CON Balance %{account_balance} %{account_token_name}
1. Send
2. My Sarafu
3. My Account
4. Help","CON Salio %{account_balance} %{account_token_name}
1. Tuma
2. Sarafu yangu
3. Akaunti yangu
4. Usaidizi","CON Mbalansi kana utyalyo %{account_balance} %{account_token_name}
1. Tuma
2. Kinandu chakwa
3. Utethyo","CON Matigari %{account_balance} %{account_token_name}
1. Tuma
2. Akaunti yaku
3. Uteithio","CON Sazo %{account_balance} %{account_token_name}
1. Huma
2. Akaunti yangu
3. Avizwa","CON Ma Odong' %{account_balance} %{account_token_name}
1. Or
2. Akaont na
3. Kony","CON Salio %{account_balance} %{account_token_name}
1. Erg
2. Akaunti khiy
3. Qarqars"
